Product ID,Name,Price,Stock,Brand,Description
1,AAA,308,24,Brand_A,Amazing gadget for all your needs.
2,AAB,307,30,Brand_B,Durable accessory for all your needs.
3,AAC,568,58,Brand_C,Durable gadget for all your needs.
4,AAD,514,78,Brand_A,Reliable gadget for all your needs.
5,AAE,988,16,Brand_A,Affordable tool for all your needs.
6,AAF,128,80,Brand_A,Affordable gadget for all your needs.
7,AAG,254,43,Brand_B,Amazing accessory for all your needs.
8,AAH,268,86,Brand_D,Innovative device for all your needs.
9,AAI,345,55,Brand_C,Affordable device for all your needs.
10,AAJ,543,87,Brand_D,Reliable gadget for all your needs.
11,AAK,547,17,Brand_D,Amazing tool for all your needs.
12,AAL,450,19,Brand_C,Reliable device for all your needs.
13,AAM,697,74,Brand_B,Affordable tool for all your needs.
14,AAN,247,69,Brand_C,Stylish device for all your needs.
15,AAO,992,41,Brand_E,Innovative tool for all your needs.
16,AAP,556,77,Brand_E,Innovative tool for all your needs.
17,AAQ,533,70,Brand_E,Affordable tool for all your needs.
18,AAR,898,20,Brand_A,Innovative accessory for all your needs.
19,AAS,919,24,Brand_C,Amazing accessory for all your needs.
20,AAT,602,54,Brand_B,Affordable accessory for all your needs.
21,AAU,948,33,Brand_A,Stylish tool for all your needs.
22,AAV,352,16,Brand_C,Innovative accessory for all your needs.
23,AAW,642,52,Brand_C,Stylish gadget for all your needs.
24,AAX,98,75,Brand_E,Innovative gadget for all your needs.
25,AAY,965,39,Brand_D,Reliable gadget for all your needs.
26,AAZ,418,40,Brand_E,Amazing device for all your needs.
27,ABA,803,50,Brand_D,Stylish gadget for all your needs.
28,ABB,132,89,Brand_A,Stylish item for all your needs.
29,ABC,473,74,Brand_E,Reliable tool for all your needs.
30,ABD,109,10,Brand_E,Amazing tool for all your needs.
31,ABE,887,100,Brand_E,Innovative device for all your needs.
32,ABF,360,11,Brand_D,Durable tool for all your needs.
33,ABG,800,40,Brand_C,Innovative gadget for all your needs.
34,ABH,346,32,Brand_C,Amazing item for all your needs.
35,ABI,759,86,Brand_A,Amazing item for all your needs.
36,ABJ,361,97,Brand_E,Reliable tool for all your needs.
37,ABK,808,31,Brand_C,Durable accessory for all your needs.
38,ABL,297,31,Brand_E,Durable gadget for all your needs.
39,ABM,616,69,Brand_D,Reliable tool for all your needs.
40,ABN,532,64,Brand_E,Durable device for all your needs.
41,ABO,599,59,Brand_A,Affordable tool for all your needs.
42,ABP,308,74,Brand_B,Reliable tool for all your needs.
43,ABQ,213,36,Brand_E,Reliable device for all your needs.
44,ABR,255,93,Brand_A,Reliable device for all your needs.
45,ABS,990,42,Brand_C,Reliable item for all your needs.
46,ABT,973,55,Brand_E,Innovative gadget for all your needs.
47,ABU,155,94,Brand_D,Reliable accessory for all your needs.
48,ABV,878,17,Brand_C,Reliable accessory for all your needs.
49,ABW,568,48,Brand_E,Stylish tool for all your needs.
50,ABX,681,47,Brand_E,Innovative item for all your needs.
51,ABY,487,14,Brand_B,Reliable gadget for all your needs.
52,ABZ,331,44,Brand_C,Innovative gadget for all your needs.
53,ACA,190,58,Brand_A,Affordable device for all your needs.
54,ACB,373,10,Brand_E,Reliable accessory for all your needs.
55,ACC,265,89,Brand_C,Amazing item for all your needs.
56,ACD,505,32,Brand_B,Affordable item for all your needs.
57,ACE,476,81,Brand_A,Affordable item for all your needs.
58,ACF,647,20,Brand_B,Innovative item for all your needs.
59,ACG,378,51,Brand_E,Amazing gadget for all your needs.
60,ACH,502,57,Brand_D,Amazing accessory for all your needs.
61,ACI,22,24,Brand_E,Amazing device for all your needs.
62,ACJ,333,94,Brand_B,Reliable item for all your needs.
63,ACK,626,85,Brand_E,Durable item for all your needs.
64,ACL,161,22,Brand_C,Innovative item for all your needs.
65,ACM,158,20,Brand_B,Amazing accessory for all your needs.
66,ACN,716,58,Brand_C,Stylish gadget for all your needs.
67,ACO,638,11,Brand_E,Innovative accessory for all your needs.
68,ACP,186,75,Brand_B,Amazing device for all your needs.
69,ACQ,501,74,Brand_C,Durable gadget for all your needs.
70,ACR,12,73,Brand_E,Affordable accessory for all your needs.
71,ACS,443,49,Brand_D,Durable tool for all your needs.
72,ACT,860,60,Brand_C,Durable accessory for all your needs.
73,ACU,112,76,Brand_D,Durable gadget for all your needs.
74,ACV,959,55,Brand_B,Innovative item for all your needs.
75,ACW,113,51,Brand_E,Durable item for all your needs.
76,ACX,192,62,Brand_A,Stylish tool for all your needs.
